source,target,freq,max_freq,weight,is_primary
surveys,oidc,9,50384,0.000178628,FALSE
surveys,history,50384,50384,1,TRUE
surveys,focus,9115,50384,0.180910607,FALSE
surveys,analytics,11,50384,0.000218323,FALSE
viewUser,header,63,63,1,TRUE
viewUser,welcome,6,63,0.095238095,FALSE
viewUser,header-dropdown,14,63,0.222222222,FALSE
viewUser,apikeys,2,63,0.031746032,FALSE
viewUser,oidc,5,63,0.079365079,FALSE
viewUser,analytics,4,63,0.063492063,FALSE
viewUser,focus,3,63,0.047619048,FALSE
